source,predicate,target
http://de_novo/polymerkg/identifier,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2001/XMLSchema#string
https://www.wikidata.org/prop/direct/P4600,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://de_novo/polymerkg/Monomer,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/entity/Q36494
http://de_novo/polymerkg/Polymer,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/entity/Q81163
http://de_novo/polymerkg/Monomer,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://de_novo/polymerkg/ChemicalEntity
http://de_novo/polymerkg/Polymer,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://de_novo/polymerkg/ChemicalEntity
http://de_novo/polymerkg/Monomer,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://de_novo/polymerkg/ChemicalEntity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://de_novo/polymerkg/FunctionalGroup,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/entity/Q898262
http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#domain,http://de_novo/polymerkg/ChemicalEntity
http://de_novo/polymerkg/hasMonomer,http://www.w3.org/2000/01/rdf-schema#range,http://de_novo/polymerkg/Monomer
http://de_novo/polymerkg/hasMonomer,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://de_novo/polymerkg/hasMonomer,http://www.w3.org/2000/01/rdf-schema#domain,http://de_novo/polymerkg/Polymer
http://de_novo/polymerkg/identifier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://de_novo/polymerkg/FunctionalGroup,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://de_novo/polymerkg/ChemicalEntity
http://de_novo/polymerkg/identifier,http://www.w3.org/2002/07/owl#equivalentProperty,http://schema.org/identifier
http://de_novo/polymerkg/identifier,http://www.w3.org/2000/01/rdf-schema#domain,http://de_novo/polymerkg/Polymer
http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2001/XMLSchema#string
http://schema.org/identifier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://de_novo/polymerkg/FunctionalGroup,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://de_novo/polymerkg/Polymer,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#Class
http://de_novo/polymerkg/hasFunctionalGroup,http://www.w3.org/2000/01/rdf-schema#range,http://de_novo/polymerkg/FunctionalGroup
http://de_novo/polymerkg/hasFunctionalGroup,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://de_novo/polymerkg/hasMonomer,http://www.w3.org/2002/07/owl#equivalentProperty,https://www.wikidata.org/prop/direct/P4600
http://de_novo/polymerkg/hasFunctionalGroup,http://www.w3.org/2000/01/rdf-schema#domain,http://de_novo/polymerkg/Polymer
